number_marsh;name_marsh;koeff
A 6;СамараАвтоГаз;0.896328293736501
Tb 108;ТД1;0.908635312259059
A 35;СамараАвтоГаз;0.5625
A 296;Шоссе;0.586715867158672
A 213;Шоссе;0.358901515151515
A 131;Городской Экспресс;0.631330771917569
A 63Э;СамараАвтоГаз;0.666666666666667
A 47;СамараАвтоГаз;0.751903114186851
A 447;Городской Экспресс;0.987444608567208
Tm 19;КТД;0.691379310344828
A 177;Городской Экспресс;0.666802610114193
A 70;СамараАвтоГаз;0.495016611295681
Tm 20К;СТД;0.851913477537438
A 110-5;Городской Экспресс;0.0087719298245614
A 389;Городской Экспресс;1
A 140;Городской Экспресс;0.775167785234899
A 141;Городской Экспресс;0.537463976945245
A 13;СамараАвтоГаз;0.386824324324324
A 101А;Городской Экспресс;0.387218045112782
A 109;Городской Экспресс;0.513864818024263
A 48к;Менеджмент Прожект;0.986535008976661
A 5Д;СамараАвтоГаз;0.774528301886792
A 266;Рейс;0.691693290734824
A 56;СамараАвтоГаз;0.291949563530553
A 167;АТП4;0.635135135135135
A 126С;Городской Экспресс;0.812857623695725
A 4;Рейс;0.838694418164617
A 181;СамараАвтоГаз;0.382352941176471
A 44;Ремикс;0.973815461346633
A 67;СамараАвтоГаз;0.894031668696711
A 180;СамараАвтоГаз;0.382352941176471
A 48д;Рейс;0.936363636363636
A 1;СамараАвтоГаз;0.767560073937153
A 39;СамараАвтоГаз;0.896039603960396
A 126а;АТП5;0.918604651162791
Tb 13;ТД3;0.970779220779221
Tb 4;ТД1;0.922022684310019
A 65;СамараАвтоГаз;0.470588235294118
A 226;Шоссе;0.551245551601424
Tb 10;ТД2;0.269230769230769
A 113;Городской Экспресс;0.672523961661342
A 172;АТП4;0.403846153846154
A 42;АТП4;0.782490974729242
Tb 17;ТД1;0.826215022091311
A 128;Городской Экспресс;0.810377962844331
A 205;Рейс;0.588694418164617
A 1А;Шоссе;0.483965014577259
A 166;Городской Экспресс;0.647540983606557
