rc_id	rl_id	ss_id	rc_orderby	rc_dist
166504	1665	489	4	0.320000
166505	1665	491	5	0.583000
166506	1665	493	6	0.777000
166507	1665	189	7	0.421000
166508	1665	187	8	0.316000
166509	1665	185	9	0.412000
166510	1665	495	10	0.669000
166511	1665	469	11	0.483000
166512	1665	28	12	0.745000
166513	1665	29	13	0.440000
166514	1665	30	14	0.778000
166515	1665	31	15	0.536000
166516	1665	32	16	1.109000
166517	1665	33	17	0.882000
166518	1665	1795	18	0.493000
166519	1665	498	19	0.456000
166520	1665	500	20	0.439000
166521	1665	503	21	0.864000
166522	1665	37	22	0.171000
166523	1665	38	23	0.658000
166524	1665	39	24	0.299000
166525	1665	392	25	0.429000
166526	1665	393	26	0.381000
166527	1665	394	27	0.317000
166528	1665	395	28	0.349000
166529	1665	397	29	0.539000
166530	1665	432	30	0.652000
166531	1665	391	31	0.709000
166532	1665	508	32	0.300000
166533	1665	366	33	0.000000
166601	1666	366	1	1.211000
166602	1666	434	2	0.549000
166603	1666	433	3	0.448000
166604	1666	398	4	0.325000
166605	1666	396	5	0.410000
166606	1666	413	6	0.324000
166607	1666	414	7	0.468000
166608	1666	415	8	0.316000
166609	1666	40	9	0.188000
166610	1666	143	10	0.509000
166611	1666	42	11	0.679000
166612	1666	43	12	0.395000
166613	1666	504	13	0.462000
166614	1666	502	14	0.594000
166615	1666	499	15	0.358000
166616	1666	46	16	0.977000
166617	1666	47	17	1.127000
166618	1666	79	18	0.570000
166619	1666	48	19	0.772000
166620	1666	49	20	0.439000
166621	1666	50	21	0.754000
166622	1666	437	22	0.727000
166623	1666	497	23	0.415000
166624	1666	496	24	0.304000
166625	1666	184	25	0.314000
166626	1666	186	26	0.572000
166627	1666	188	27	0.805000
166628	1666	494	28	0.531000
166629	1666	492	29	0.352000
166630	1666	490	30	0.481000
166631	1666	488	31	0.710000
166632	1666	123	32	0.530000
166633	1666	121	33	0.179000
166634	1666	120	34	0.000000
236501	2365	182	1	0.584404
236502	2365	560	2	0.448771
236503	2365	562	3	0.817000
236504	2365	52	4	0.451557
236505	2365	53	5	0.458000
236506	2365	564	6	0.531554
236507	2365	566	7	0.502400
236508	2365	568	8	0.507195
236509	2365	190	9	0.766000
236510	2365	192	10	0.410358
236511	2365	194	11	0.961000
236512	2365	569	12	0.671389
236513	2365	571	13	0.377322
236514	2365	573	14	0.376136
236515	2365	575	15	0.366000
236516	2365	451	16	0.311000
236517	2365	452	17	1.171799
236518	2365	93	18	0.824858
236519	2365	454	19	0.643000
236520	2365	455	20	0.779000
236521	2365	456	21	0.581571
236522	2365	459	22	0.230952
236523	2365	461	23	0.419253
236524	2365	463	24	0.526445
236525	2365	470	25	0.122792
236526	2365	466	26	0.000000
236601	2366	466	1	0.455106
236602	2366	464	2	0.453860
236603	2366	462	3	0.231587
236604	2366	460	4	0.385783
236605	2366	458	5	0.297361
236606	2366	474	6	0.896373
236607	2366	475	7	0.627481
236608	2366	476	8	0.797012
236609	2366	104	9	1.141930
236610	2366	486	10	0.332710
236611	2366	477	11	0.434168
236612	2366	576	12	0.390946
236613	2366	574	13	0.447000
236614	2366	572	14	0.657000
236615	2366	570	15	0.816375
236616	2366	195	16	0.493555
236617	2366	193	17	0.706436
236618	2366	191	18	0.412283
236619	2366	578	19	0.562370
236620	2366	567	20	0.594632
236621	2366	565	21	0.523000
236622	2366	26	22	0.464000
236623	2366	27	23	0.965000
236624	2366	563	24	0.381260
236625	2366	561	25	0.241298
236626	2366	559	26	0.352856
236627	2366	183	27	0.039277
236628	2366	182	28	0.000000
236701	2367	182	1	0.584404
236702	2367	560	2	0.448771
236703	2367	562	3	0.817000
236704	2367	52	4	0.451557
236705	2367	53	5	0.458000
236706	2367	564	6	0.531554
236707	2367	566	7	0.502400
236708	2367	568	8	0.507195
236709	2367	190	9	0.766000
236710	2367	192	10	0.410358
236711	2367	194	11	0.961000
236712	2367	569	12	0.671389
236713	2367	571	13	0.377322
236714	2367	573	14	0.376136
236715	2367	575	15	0.366000
236716	2367	451	16	0.311000
236717	2367	452	17	1.171799
236718	2367	93	18	0.092017
236719	2367	104	19	0.000000
236801	2368	104	1	1.141138
236802	2368	486	2	0.332710
236803	2368	477	3	0.434168
236804	2368	576	4	0.390946
236805	2368	574	5	0.447000
236806	2368	572	6	0.657000
236807	2368	570	7	0.816375
236808	2368	195	8	0.493555
236809	2368	193	9	0.706436
236810	2368	191	10	0.412283
236811	2368	578	11	0.562370
236812	2368	567	12	0.594632
